kepid,kepoi_name,ra,dec,koi_period,koi_prad,koi_disposition_pred
6268648,K01613.02,285.47659,41.632717,94.094392,0.9,CONFIRMED
10935993,K03367.01,298.19162,48.396259,25.3736543,1.88,CONFIRMED
5257082,K03368.01,285.41266,40.42577,10.08535311,1.45,CONFIRMED
8628665,K03434.01,293.34521,44.700642,10.2856373,1.24,CONFIRMED
5881307,K07746.01,293.38049,41.151901,393.95608,2.27,FALSE POSITIVE
4645174,K03437.02,288.88333,39.74456,34.7496038,3.51,CONFIRMED
6124137,K07764.01,292.0105,41.467098,227.83457,2.83,FALSE POSITIVE
11657614,K03370.01,289.43896,49.73122,24.352541,1.52,CONFIRMED
5687986,K07735.01,285.36993,40.907429,382.30306,4.05,FALSE POSITIVE
11125797,K03371.01,285.31381,48.72525,58.1263775,1.32,CONFIRMED
6543893,K01627.03,297.58313,41.952431,3.80675878,2.75,CONFIRMED
6705026,K03374.02,295.40979,42.150829,34.1086562,1.95,CONFIRMED
5553959,K03377.01,297.05066,40.717419,10.0100312,0.99,CONFIRMED
5384713,K03444.01,297.4292,40.561909,12.67143692,0.76,CONFIRMED
5384713,K03444.02,297.4292,40.561909,60.32668824,4.98,CONFIRMED
5384713,K03444.03,297.4292,40.561909,2.63595435,0.5,CONFIRMED
6451368,K07780.01,294.48404,41.869171,5.3360574,1.52,FALSE POSITIVE
8644365,K03384.01,298.09543,44.737061,10.54841329,3.89,CONFIRMED
5888187,K07749.01,295.27301,41.168282,133.6348207,1.89,FALSE POSITIVE
3348216,K03448.01,292.96008,38.431431,32.510844,2.62,CONFIRMED
10793576,K03451.01,290.34442,48.147308,10.90752977,1.58,CONFIRMED
7047922,K01899.02,295.75412,42.537479,10.5226374,1.08,CONFIRMED
5894182,K07750.01,296.67538,41.164768,494.485085,5.03,FALSE POSITIVE
6947668,K03455.01,291.50708,42.429878,14.0545718,1.45,CONFIRMED
10290666,K00332.02,297.65094,47.39629,6.86674226,0.79,CONFIRMED
3848966,K03389.01,291.06937,38.914909,29.7681831,3.98,CONFIRMED
9452897,K03391.01,285.84387,46.015911,36.7662364,1.28,CONFIRMED
6209677,K01750.02,293.30023,41.523338,2.53742164,0.93,CONFIRMED
9664276,K03460.01,297.37912,46.367069,62.596544,2.25,CONFIRMED
7748487,K03394.01,290.23602,43.47065,15.5764061,1.79,CONFIRMED
3219037,K03395.01,286.54041,38.3326,10.00506974,1.11,CONFIRMED
